book,region,id_name,territory_name,territory_name_old,capital_name,capital_lat_long,territory_secular_rule,territory_start_secular_rule,territory_end_secular_rule,territory_ecclesiastical_rule,territory_start_ecclesiastical_rule,territory_end_ecclesiastical_rule,territory_religion,territory_start_religion,territory_end_religion,alliance,start_alliance,source,table_on_wikipedia
SW,Strasbourg,Strasbourg,Strasbourg,Strasbourg,Strasbourg,"48.5734° N, 7.7521° E",free city,1262,1681,,,,lutheran,1559,1583,SL,1531,https://en.wikipedia.org/wiki/Strasbourg#History,n
SW,Strasbourg,Strasbourg,Strasbourg,Strasbourg,Strasbourg,"48.5734° N, 7.7521° E",free city,1262,1681,,,,Roman-catholic,1583,,SL,1531,https://en.wikipedia.org/wiki/Strasbourg#History,n
SW,Lothringen,Lothringen,Lothringen,Lothringen,Nancy,"48.6921° N, 6.1844° E",duchy,1484,1766,,,,Roman-catholic,,,,,https://de.wikipedia.org/wiki/Herzogtum_Lothringen,n
SW,Lothringen,Metz (Hochstift),Metz (Hochstift),Metz,Vic-sur-Seille,"48.7823° N, 6.5299° E",principality,,1648,bishopric,,1648,Roman-catholic,,,,,https://de.wikipedia.org/wiki/Hochstift_Metz,y
SW,Lothringen,Metz,Metz,Metz,Metz,"49.1193° N, 6.1757° E",imperial city,1210,1552,,,,Roman-catholic,,1552,,,https://de.wikipedia.org/wiki/Metz#Metz_als_Freie_Reichsstadt,n
SW,Lothringen,Metz,Metz,Metz,Metz,"49.1193° N, 6.1757° E",french city,1552,,,,,"lutheran, reformed, calvinist, free",1552,,,,https://de.wikipedia.org/wiki/Metz#Metz_als_Freie_Reichsstadt,n
SW,Lothringen,Toul (Hochstift),Toul (Hochstift),Toul,Liverdun,"48.7502° N, 6.0628° E",principality,,1648,bishopric,,1648,Roman-catholic,,,,,https://de.wikipedia.org/wiki/Bistum_Toul,n
SW,Lothringen,Toul,Toul,Toul,Toul,"48.6783° N, 5.8902° E",imperial city,,1552,,,,Roman-catholic,,,,,https://de.wikipedia.org/wiki/Toul,n
SW,Lothringen,Toul,Toul,Toul,Toul,"48.6783° N, 5.8902° E",french,1552,,,,,Roman-catholic,,,,,https://de.wikipedia.org/wiki/Toul,n
SW,Lothringen,Verdun (Hochstift),Verdun (Hochstift),Verdun,Montmedy,"49.5195° N, 5.3666° E",principality,,1648,bishopric,,1648,Roman-catholic,,,,,https://de.wikipedia.org/wiki/Bistum_Verdun,n
SW,Lothringen,Verdun,Verdun,Verdun,Verdun,"49.1599° N, 5.3844° E",imperial city,,1552,,,,"Roman-catholic, free",,1552,,,https://de.wikipedia.org/wiki/Verdun#Geschichte,n
SW,Lothringen,Verdun,Verdun,Verdun,Verdun,"49.1599° N, 5.3844° E",french,1552,,,,,"lutheran, reformed, calvinist, free",1552,,,,https://de.wikipedia.org/wiki/Verdun#Geschichte,n
,,,Baden-Hachberg,Baden-Hachberg,Emmendingen,"48.1171° N, 7.8539° E",margraviate,1584,1590,,,,lutheran,1584,1590,,,https://de.wikipedia.org/wiki/Markgrafschaft_Baden-Hachberg,n
,,,Baden Rötteln-Sausenberg,Baden Rötteln-Sausenberg,Rötteln,"47.6378° N, 7.6680° E",margraviate,1584,1590,,,,,,,,,,n
,,,Baden Rötteln-Sausenberg,Baden Rötteln-Sausenberg,Rötteln,"47.6378° N, 7.6680° E",margraviate,1584,1590,,,,,,,,,,n
SW,evangl Reichsstädte,Ulm,Ulm,Ulm,Ulm,"48.4011° N, 9.9876° E",Free imperial city,854,1810,,,,Roman-catholic,,1531,SL,1531,https://de.wikipedia.org/wiki/Ulm#Reichsstadt_in_der_fr%C3%BChen_Neuzeit_(1500_bis_1802),n
SW,evangl Reichsstädte,Ulm,Ulm,Ulm,Ulm,"48.4011° N, 9.9876° E",Free imperial city,854,1810,,,,lutheran,1531,,SL,1531,https://de.wikipedia.org/wiki/Ulm#Reichsstadt_in_der_fr%C3%BChen_Neuzeit_(1500_bis_1802),n
SW,evangl Reichsstädte,Speyer,Speyer,Speyer,Speyer,"49.3173° N, 8.4412° E",free city,1111,1792,,,,Roman-catholic,,1525,,,https://de.wikipedia.org/wiki/Speyer,n
SW,evangl Reichsstädte,Speyer,Speyer,Speyer,Speyer,"49.3173° N, 8.4412° E",free city,1111,1792,,,,lutheran,1525,,,,https://de.wikipedia.org/wiki/Speyer,n
SW,evangl Reichsstädte,Landau,Landau,Landau,Landau,"49.1989° N, 8.1186° E",imperial city,1291,1680,,,,Roman-catholic,,1525,,,"https://de.wikipedia.org/wiki/Landau_in_der_Pfalz, https://www.regionalgeschichte.net/pfalz/landau/einzelaspekte/landau-in-der-reformationszeit.html",n
SW,evangl Reichsstädte,Landau,Landau,Landau,Landau,"49.1989° N, 8.1186° E",imperial city,1291,1680,,,,radical,1525,1579,,,"https://de.wikipedia.org/wiki/Landau_in_der_Pfalz, https://www.regionalgeschichte.net/pfalz/landau/einzelaspekte/landau-in-der-reformationszeit.html",n
SW,evangl Reichsstädte,Landau,Landau,Landau,Landau,"49.1989° N, 8.1186° E",imperial city,1291,1680,,,,"lutheran, Roman-catholic",1579,,,,"https://de.wikipedia.org/wiki/Landau_in_der_Pfalz, https://www.regionalgeschichte.net/pfalz/landau/einzelaspekte/landau-in-der-reformationszeit.html",n
SW,evangl Reichsstädte,Weissenburg,Weissenburg,Weissenburg,Weissenburg,"49.0369° N, 7.9445° E",imperial city,1306,1697,,,,Roman-catholic,,1522,,,https://de.wikipedia.org/wiki/Wissembourg#Geschichte,n
SW,evangl Reichsstädte,Weissenburg,Weissenburg,Weissenburg,Weissenburg,"49.0369° N, 7.9445° E",imperial city,1306,1697,,,,"lutheran, reformed",1522,,,,https://de.wikipedia.org/wiki/Wissembourg#Geschichte,n
SW,evangl Reichsstädte,Hagenau,Hagenau,Hagenau,Hagenau,"48.8133° N, 7.7913° E",imperial city,1164,1648,,,,Roman-catholic,,1540,,,https://de.wikipedia.org/wiki/Hagenau,n
SW,evangl Reichsstädte,Hagenau,Hagenau,Hagenau,Hagenau,"48.8133° N, 7.7913° E",imperial city,1164,1648,,,,free,1540,,,,https://de.wikipedia.org/wiki/Hagenau,n
SW,evangl Reichsstädte,Colmar,Colmar,Colmar,Colmar,"48.0794° N, 7.3585° E",imperial city,1226,1632,,,,Roman-catholic,,1575,,,https://de.wikipedia.org/wiki/Colmar,n
SW,evangl Reichsstädte,Colmar,Colmar,Colmar,Colmar,"48.0794° N, 7.3585° E",imperial city,1226,1632,,,,lutheran,1575,,,,https://de.wikipedia.org/wiki/Colmar,n
